theater,title,theater_film_link,dates,director,year,letterboxd_url,letterboxd_rating,letterboxd_viewers
Cines Renoir,La Chica Zurda,https://www.cinesrenoir.com/pelicula/la-chica-zurda/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 22:15'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 18:05'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 22:15'}]",Shih-Ching Tsou,2025,https://letterboxd.com/film/left-handed-girl/,3.9,
Cines Renoir,La Tarta Del Presidente,https://www.cinesrenoir.com/pelicula/la-tarta-del-presidente/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 22:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 18:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 22:00'}]",Hasan Hadi,2025,https://letterboxd.com/film/the-presidents-cake/,3.9,
Cines Renoir,Rental Family,https://www.cinesrenoir.com/pelicula/rental-family-familia-de-alquiler/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-06 18:30'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-07 18:30'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-08 18:30'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-09 18:30'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-10 18:30'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 18:15'}, {'location': 'Retiro', 'timestamp': '2026-02-11 18:30'}]",Mitsuyo Miyazaki,2025,https://letterboxd.com/film/rental-family-2025/,3.9,
Cines Renoir,Los Domingos,https://www.cinesrenoir.com/pelicula/los-domingos/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-06 20:10'}, {'location': 'Princesa', 'timestamp': '2026-02-06 22:25'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-07 20:10'}, {'location': 'Princesa', 'timestamp': '2026-02-07 22:25'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-08 20:10'}, {'location': 'Princesa', 'timestamp': '2026-02-08 22:25'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-09 20:10'}, {'location': 'Princesa', 'timestamp': '2026-02-09 22:25'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-10 22:25'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 17:55'}, {'location': 'Princesa', 'timestamp': '2026-02-11 20:10'}, {'location': 'Princesa', 'timestamp': '2026-02-11 22:25'}]",Alauda Ruiz De Azúa,2025,https://letterboxd.com/film/sundays-2025/,3.9,
Cineteca Madrid,En la ciudad de Sylvia,https://www.cinetecamadrid.com/programacion/en-la-ciudad-de-sylvia,"[{'timestamp': '2026-02-17 18:30', 'location': 'Cineteca Madrid'}]",José Luis Guerin,2007,https://letterboxd.com/film/in-the-city-of-sylvia/,3.8,
Cineteca Madrid,Historias del buen valle,https://www.cinetecamadrid.com/programacion/historias-del-buen-valle,"[{'timestamp': '2026-02-10 19:00', 'location': 'Cineteca Madrid'}]",José Luis Guerin,2025,https://letterboxd.com/film/good-valley-stories/,3.8,
Cineteca Madrid,Alicia en el país de las maravillas (1951),https://www.cinetecamadrid.com/programacion/alicia-en-el-pais-de-las-maravillas-1951,"[{'timestamp': '2026-02-01 12:00', 'location': 'Cineteca Madrid'}]","Clyde Geronimi, Hamilton Luske, Wilfred Jackson",1951,https://letterboxd.com/film/alice-in-wonderland-1951/,3.8,
Cineteca Madrid,Mermaid Legend,https://www.cinetecamadrid.com/programacion/mermaid-legend,"[{'timestamp': '2026-02-24 20:00', 'location': 'Cineteca Madrid'}]",Toshiharu Ikeda,1984,https://letterboxd.com/film/mermaid-legend/,3.8,
Cine Doré,El círculo,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-circulo-2,"[{'timestamp': '2026-02-04 19:00', 'location': 'Cine Doré'}]",Jafar Panahi,2000,https://letterboxd.com/film/the-circle/,3.8,
Cineteca Madrid,The Crazy Family,https://www.cinetecamadrid.com/programacion/crazy-family,"[{'timestamp': '2026-02-28 20:00', 'location': 'Cineteca Madrid'}]",Gakuryu Ishii,1984,https://letterboxd.com/film/the-crazy-family/,3.8,
Cineteca Madrid,La felicidad,https://www.cinetecamadrid.com/programacion/la-felicidad,"[{'timestamp': '2026-02-12 20:00', 'location': 'Cineteca Madrid'}]",Aleksandr Medvedkin,1935,https://letterboxd.com/film/happiness-1935/,3.8,
Cine Doré,El crimen del Sr. Lange,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-crimen-del-sr-lange,"[{'timestamp': '2026-02-08 19:00', 'location': 'Cine Doré'}]",Jean Renoir,1936,https://letterboxd.com/film/the-crime-of-monsieur-lange/,3.7,
Cineteca Madrid,An Honest Liar,https://www.cinetecamadrid.com/programacion/honest-liar,"[{'timestamp': '2026-02-06 19:00', 'location': 'Cineteca Madrid'}]","Tyler Measom, Justin Weinstein",2014,https://letterboxd.com/film/an-honest-liar/,3.7,
Cine Doré,El globo atado,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-globo-atado,"[{'timestamp': '2026-02-27 19:00', 'location': 'Cine Doré'}]",Binka Zhelyazkova,1967,https://letterboxd.com/film/the-tied-up-balloon/,3.7,
Cine Doré,El pan nuestro de cada día,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/el-pan-nuestro-de-cada-dia,"[{'timestamp': '2026-02-25 19:00', 'location': 'Cine Doré'}]",King Vidor,1934,https://letterboxd.com/film/our-daily-bread-1934/,3.7,
Cine Doré,Dodes'ka-den,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/dodes-ka-den,"[{'timestamp': '2026-02-18 19:00', 'location': 'Cine Doré'}]",Akira Kurosawa,1970,https://letterboxd.com/film/dodeska-den/,3.7,
Cines Renoir,Rondallas,https://www.cinesrenoir.com/pelicula/rondallas/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 22:30'}, {'location': 'Retiro', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 22:30'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 22:30'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 22:30'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 22:30'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 18:10'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 22:30'}]",Daniel Sánchez Arévalo,2025,https://letterboxd.com/film/band-together-2025/,3.7,
Cineteca Madrid,Correspondencias Jonas Mekas – J.L. Guerin,https://www.cinetecamadrid.com/programacion/correspondencias-jonas-mekas-jl-guerin,"[{'timestamp': '2026-02-19 19:30', 'location': 'Cineteca Madrid'}]","Jonas Mekas, José Luis Guerin",2011,https://letterboxd.com/film/cinematic-correspondences-jonas-mekas-jl-guerin/,3.7,
Cineteca Madrid,En construcción,https://www.cinetecamadrid.com/programacion/en-construccion,"[{'timestamp': '2026-02-15 19:30', 'location': 'Cineteca Madrid'}]",José Luis Guerin,2000,https://letterboxd.com/film/work-in-progress/,3.7,
Cines Renoir,Nouvelle Vague,https://www.cinesrenoir.com/pelicula/nouvelle-vague/,"[{'location': 'Plaza de España', 'timestamp': '2026-02-06 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-06 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-07 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-08 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-09 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-10 20:20'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 16:00'}, {'location': 'Plaza de España', 'timestamp': '2026-02-11 20:20'}]",Richard Linklater,2025,https://letterboxd.com/film/nouvelle-vague-2025/,3.7,
Cineteca Madrid,Privilege,https://www.cinetecamadrid.com/programacion/privilege-0,"[{'timestamp': '2026-02-18 19:30', 'location': 'Cineteca Madrid'}]",Yvonne Rainer,1990,https://letterboxd.com/film/privilege-1990/,3.7,
Cineteca Madrid,Unas fotos en la ciudad de Sylvia,https://www.cinetecamadrid.com/programacion/unas-fotos-en-la-ciudad-de-sylvia,"[{'timestamp': '2026-02-18 19:30', 'location': 'Cineteca Madrid'}]",José Luis Guerin,2007,https://letterboxd.com/film/some-photos-in-the-city-of-sylvia/,3.6,
Cines Renoir,Tres Adioses,https://www.cinesrenoir.com/pelicula/tres-adioses/,"[{'location': 'Princesa', 'timestamp': '2026-02-06 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-06 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-06 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-06 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-06 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-06 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-06 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-06 22:45'}, {'location': 'Princesa', 'timestamp': '2026-02-07 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-07 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-07 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-07 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-07 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-07 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-07 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-07 22:45'}, {'location': 'Princesa', 'timestamp': '2026-02-08 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-08 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-08 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-08 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-08 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-08 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-08 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-08 22:45'}, {'location': 'Retiro', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-09 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-09 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-09 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-09 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-09 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-09 22:45'}, {'location': 'Princesa', 'timestamp': '2026-02-10 16:00'}, {'location': 'Retiro', 'timestamp': '2026-02-10 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-10 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-10 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-10 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-10 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-10 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-10 22:45'}, {'location': 'Retiro', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 16:00'}, {'location': 'Princesa', 'timestamp': '2026-02-11 18:05'}, {'location': 'Retiro', 'timestamp': '2026-02-11 18:15'}, {'location': 'Princesa', 'timestamp': '2026-02-11 20:25'}, {'location': 'Retiro', 'timestamp': '2026-02-11 20:30'}, {'location': 'Princesa', 'timestamp': '2026-02-11 22:35'}, {'location': 'Retiro', 'timestamp': '2026-02-11 22:45'}]",Isabel Coixet,2025,https://letterboxd.com/film/three-goodbyes/,3.6,
Cineteca Madrid,Innisfree,https://www.cinetecamadrid.com/programacion/innisfree,"[{'timestamp': '2026-02-04 19:30', 'location': 'Cineteca Madrid'}]",José Luis Guerin,1990,https://letterboxd.com/film/innisfree/,3.6,
Cine Doré,Macunaíma,https://entradasfilmoteca.sacatuentrada.es/es/productos/descripcion/macunaima,"[{'timestamp': '2026-02-19 19:00', 'location': 'Cine Doré'}]",Joaquim Pedro de Andrade,1969,https://letterboxd.com/film/macunaima/,3.6,
